,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
0,Riverhead,Paula Hawkins,1594634025,2017-02-19,THE GIRL ON THE TRAIN,102,5
1,Scribner,Anthony Doerr,1501173219,2017-05-07,ALL THE LIGHT WE CANNOT SEE,81,6
2,Vintage,E L James,0525431888,2017-03-05,FIFTY SHADES DARKER,66,3
3,St. Martin's,Kristin Hannah,1466850604,2017-10-29,THE NIGHTINGALE,63,2
4,Penguin Group,Kathryn Stockett,1440697663,2012-04-08,THE HELP,58,2
5,Washington Square,Fredrik Backman,1476738025,2017-07-23,A MAN CALLED OVE,56,4
6,Andrews McMeel,Rupi Kaur,144947425X,2018-03-11,MILK AND HONEY,52,3
7,Bantam,George R R Martin,0553897845,2017-09-17,A GAME OF THRONES,51,4
8,Berkley,Liane Moriarty,0425274861,2017-05-21,BIG LITTLE LIES,38,3
9,Ballantine,Lisa Wingate,0425284697,2018-06-09,BEFORE WE WERE YOURS,35,4
10,Scout,Ruth Ware,1501132954,2017-10-08,THE WOMAN IN CABIN 10,35,5
11,Penguin Press,Celeste Ng,0735224307,2018-06-09,LITTLE FIRES EVERYWHERE,31,3
12,Knopf Doubleday Publishing,Stieg Larsson,0307272117,2013-01-13,THE GIRL WITH THE DRAGON TATTOO,31,6
13,Houghton Mifflin Harcourt,Margaret Atwood,038549081X,2018-06-03,THE HANDMAID'S TALE,27,3
14,Doubleday,John Grisham,1101967684,2017-09-24,THE WHISTLER,25,2
15,Grand Central,Nicholas Sparks,1455520667,2015-05-17,THE LONGEST RIDE,25,3
16,Broadway,Ernest Cline,0307887448,2018-05-20,READY PLAYER ONE,24,3
17,Doubleday,John Grisham,1524797154,2018-05-27,CAMINO ISLAND,23,2
18,Dell,Diana Gabaldon,0440335167,2017-09-24,OUTLANDER,21,1
19,Penguin Group,Sylvia Day,None,2013-02-10,BARED TO YOU,21,3
20,Andrews McMeel,Rupi Kaur,1449486797,2018-04-01,THE SUN AND HER FLOWERS,20,5
21,Doubleday,Dan Brown,0385514239,2018-03-04,ORIGIN,20,1
22,Ballantine,Martha Hall Kelly,1101883081,2017-09-17,LILAC GIRLS,20,2
23,Scribner,Stephen King,1501120603,2016-03-06,11/22/1963,19,1
24,Vintage,E L James,0345803574,2015-03-08,FIFTY SHADES TRILOGY,19,3
25,Forge Books,W Bruce Cameron,0765388111,2017-04-30,A DOG'S PURPOSE,18,3
26,Entangled Publishing,Jennifer Probst,None,2012-09-02,THE MARRIAGE BARGAIN,17,3
27,St. Martin's,Kristin Hannah,125016561X,2018-06-09,THE GREAT ALONE,16,3
28,Doubleday,Colson Whitehead,0385542364,2017-02-12,THE UNDERGROUND RAILROAD,16,3
29,Ballantine,Jodi Picoult,034554496X,2017-02-12,SMALL GREAT THINGS,16,3
30,Grand Central,Nicholas Sparks,1455520691,2017-02-05,TWO BY TWO,16,3
31,Harper,Harper Lee,0062409875,2016-07-10,GO SET A WATCHMAN,16,4
32,Morrow,AJ Finn,0062678418,2018-05-06,THE WOMAN IN THE WINDOW,15,5
33,Scribner,Stephen King,1501175467,2017-12-10,IT,15,1
34,Grand Central,Nicholas Sparks,1455520608,2017-07-02,SEE ME,15,2
35,Grand Central,David Baldacci,0446573043,2013-05-05,THE FORGOTTEN,15,2
36,Delacorte,Lee Child,0399593500,2018-06-09,THE MIDNIGHT LINE,14,3
37,Doubleday,John Grisham,0385541171,2018-02-11,THE ROOSTER BAR,14,3
38,Grand Central,David Baldacci,145558648X,2017-05-14,THE LAST MILE,14,3
39,Riverhead,Paula Hawkins,0735211221,2018-06-03,INTO THE WATER,13,3
40,Windblown Media,William P Young,0964729237,2017-05-07,THE SHACK,13,2
41,"Sarah Crichton/Farrar, Straus & Giroux",Matthew Quick,142996023X,2013-06-02,THE SILVER LININGS PLAYBOOK,13,4
42,Delacorte Press,William Landay,0345527593,2013-04-07,DEFENDING JACOB,13,2
43,Grand Central,David Baldacci,1455586587,2018-04-01,THE FIX,12,2
44,Grand Central,David Baldacci,1455521167,2015-04-12,THE ESCAPE,12,2
45,Darcie Chan,Darcie Chan,None,2013-09-29,THE MILL RIVER RECLUSE,12,4
46,Houghton Mifflin Harcourt,Yann Martel,0547416113,2013-04-07,LIFE OF PI,12,3
47,Delacorte,Lee Child,0804178828,2017-06-18,NIGHT SCHOOL,11,2
48,Berkley,Nora Roberts,110198760X,2017-04-23,THE OBSESSION,11,2
49,Ecco/HarperCollins,Cynthia D'Aprix Sweeney,0062414216,2016-06-19,THE NEST,11,2
50,Grand Central,David Baldacci,1455586501,2017-04-09,NO MAN'S LAND,10,3
