,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating,popularity
7,Berkley,Liane Moriarty,0425274861,2017-05-21,BIG LITTLE LIES,38,3,6879,10800,792,736511,1276316,45566,4.27,True
8,Ballantine,Lisa Wingate,0425284697,2018-06-09,BEFORE WE WERE YOURS,35,4,314,515,50,362806,809140,30945,4.37,True
9,Scout,Ruth Ware,1501132954,2017-10-08,THE WOMAN IN CABIN 10,35,5,9381,26152,991,363638,730533,28744,3.7,True
13,Doubleday,John Grisham,1101967684,2017-09-24,THE WHISTLER,25,2,344,711,36,76249,143621,5867,3.85,True
14,Grand Central,Nicholas Sparks,1455520667,2015-05-17,THE LONGEST RIDE,25,3,59,114,23,111329,218143,9818,4.15,True
16,Doubleday,John Grisham,1524797154,2018-05-27,CAMINO ISLAND,23,2,471,778,71,95760,187655,8507,3.75,True
17,Dell,Diana Gabaldon,0440335167,2017-09-24,OUTLANDER,21,1,4,12,1,812455,1477027,45189,4.23,True
20,Ballantine,Martha Hall Kelly,1101883081,2017-09-17,LILAC GIRLS,20,2,4706,11062,565,206760,500577,18014,4.28,True
21,Scribner,Stephen King,1501120603,2016-03-06,11/22/1963,19,1,1284,2306,229,414832,818704,37669,4.31,True
22,Vintage,E L James,0345803574,2015-03-08,FIFTY SHADES TRILOGY,19,3,82905,129111,5705,113881,174969,6487,4.11,True
23,Forge Books,W Bruce Cameron,0765388111,2017-04-30,A DOG'S PURPOSE,18,3,1842,4144,323,111533,209501,13161,4.35,True
24,St. Martin's,Kristin Hannah,125016561X,2018-06-09,THE GREAT ALONE,16,3,151,243,48,363073,778639,36575,4.34,True
26,Ballantine,Jodi Picoult,034554496X,2017-02-12,SMALL GREAT THINGS,16,3,104,172,35,260815,533873,25170,4.34,True
27,Grand Central,Nicholas Sparks,1455520691,2017-02-05,TWO BY TWO,16,3,2015,8889,353,66630,163159,5816,3.92,True
28,Harper,Harper Lee,0062409875,2016-07-10,GO SET A WATCHMAN,16,4,54,96,17,229380,575055,29495,3.31,True
30,Scribner,Stephen King,1501175467,2017-12-10,IT,15,1,1333,2982,190,789789,1398689,25068,4.24,True
31,Grand Central,Nicholas Sparks,1455520608,2017-07-02,SEE ME,15,2,315,2126,29,67689,150073,5722,3.96,True
