,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,1594634025,4832,8435,417,2082071,3313269,109917,3.92
0,1501173219,4375,10744,565,1005586,2142471,75056,4.33
0,0525431888,71,155,7,737540,1064380,29077,3.84
0,1466850604,631,1480,150,680040,1319418,63407,4.58
0,1440697663,1491,1922,330,2141308,3031266,84485,4.47
0,1476738025,13742,26468,2200,556000,986602,64015,4.36
0,144947425X,14806,23508,1601,332834,711555,27521,4.08
0,0425274861,6879,10800,792,736511,1276316,45566,4.27
0,0425284697,314,515,50,362806,809140,30945,4.37
0,1501132954,9381,26152,991,363638,730533,28744,3.7
0,0735224307,398,609,95,685205,1457380,51647,4.1
0,0307272117,15966,20449,3082,2582981,3716929,68479,4.14
0,038549081X,11,42,1,1436919,2646668,69848,4.11
0,1101967684,344,711,36,76249,143621,5867,3.85
0,1455520667,59,114,23,111329,218143,9818,4.15
0,0307887448,33521,76595,6045,846639,1419756,86590,4.26
0,1524797154,471,778,71,95760,187655,8507,3.75
0,0440335167,4,12,1,812455,1477027,45189,4.23
0,1449486797,123636,321655,8656,137067,351082,10271,4.16
0,0385514239,146739,305239,15463,252133,495214,23835,3.86
0,1101883081,4706,11062,565,206760,500577,18014,4.28
0,1501120603,1284,2306,229,414832,818704,37669,4.31
0,0345803574,82905,129111,5705,113881,174969,6487,4.11
0,0765388111,1842,4144,323,111533,209501,13161,4.35
0,125016561X,151,243,48,363073,778639,36575,4.34
0,0385542364,221102,561223,19420,283638,685051,24524,4.03
0,034554496X,104,172,35,260815,533873,25170,4.34
0,1455520691,2015,8889,353,66630,163159,5816,3.92
0,0062409875,54,96,17,229380,575055,29495,3.31
0,0062678418,103959,254219,14338,438153,920085,41248,3.94
0,1501175467,1333,2982,190,789789,1398689,25068,4.24
0,1455520608,315,2126,29,67689,150073,5722,3.96
0,0446573043,96,180,14,53077,83160,3121,4.1
0,0399593500,346,664,36,61409,114773,4337,4.07
0,0385541171,45633,79484,5082,72570,138315,6487,3.62
0,145558648X,36,53,3,68493,122851,4300,4.2
0,0735211221,2158,18957,238,274985,680620,23421,3.57
0,0964729237,445495,632356,29220,533381,785813,32993,3.78
